시군구,단지명,전용면적(평),계약년월,계약일,거래금액(만원),층,건축년도,구,동,유형,계약월,계약요일,평당금액
서울특별시 강남구 도곡동,도곡우성아파트,25.71,202204,2022.4.19,217000,5,1986,강남구,도곡동,중형,4,화,8440.3
서울특별시 강남구 도곡동,도곡우성아파트,25.71,202205,2022.5.12,225000,11,1986,강남구,도곡동,중형,5,목,8751.46
서울특별시 강남구 도곡동,도곡지웰카운티101동,32.46,202203,2022.3.10,190000,4,2010,강남구,도곡동,대형,3,목,5853.36
서울특별시 강남구 도곡동,도곡지웰카운티101동,32.46,202204,2022.4.26,180000,3,2010,강남구,도곡동,대형,4,화,5545.29
서울특별시 강남구 도곡동,도곡지웰카운티101동,32.46,202212,2022.12.17,183000,1,2010,강남구,도곡동,대형,12,토,5637.71
서울특별시 강남구 도곡동,도곡현대힐스테이트105동,49.97,202203,2022.3.30,225000,4,1999,강남구,도곡동,대형,3,수,4502.7
서울특별시 강남구 도곡동,래미안도곡카운티,18.18,202202,2022.2.23,225000,20,2016,강남구,도곡동,소형,2,수,12376.24
서울특별시 강남구 도곡동,래미안도곡카운티,18.18,202202,2022.2.23,225000,20,2016,강남구,도곡동,소형,2,수,12376.24
서울특별시 강남구 도곡동,래미안도곡카운티,32.24,202203,2022.3.11,344000,4,2016,강남구,도곡동,대형,3,금,10669.98
서울특별시 강남구 도곡동,래미안도곡카운티,32.36,202205,2022.5.5,355000,7,2016,강남구,도곡동,대형,5,목,10970.33
서울특별시 강남구 도곡동,래미안도곡카운티,32.36,202205,2022.5.17,370000,15,2016,강남구,도곡동,대형,5,화,11433.87
서울특별시 강남구 도곡동,래미안도곡카운티,32.36,202205,2022.5.18,360000,17,2016,강남구,도곡동,대형,5,수,11124.85
서울특별시 강남구 도곡동,럭키(963),25.75,202203,2022.3.27,232000,11,1995,강남구,도곡동,중형,3,일,9009.71
서울특별시 강남구 도곡동,럭키(963),25.75,202204,2022.4.1,225000,7,1995,강남구,도곡동,중형,4,금,8737.86
서울특별시 강남구 도곡동,럭키(963),37.61,202204,2022.4.2,270000,2,1995,강남구,도곡동,대형,4,토,7178.94
서울특별시 강남구 도곡동,럭키(963),25.75,202205,2022.5.6,235500,7,1995,강남구,도곡동,중형,5,금,9145.63
서울특별시 강남구 도곡동,럭키(963),37.78,202205,2022.5.19,260000,1,1995,강남구,도곡동,대형,5,목,6881.95
서울특별시 강남구 도곡동,매봉삼성,18.13,202203,2022.3.24,160000,6,1999,강남구,도곡동,소형,3,목,8825.15
서울특별시 강남구 도곡동,삼성,25.73,202201,2022.1.15,220000,5,1994,강남구,도곡동,중형,1,토,8550.33
서울특별시 강남구 도곡동,삼성,22.25,202211,2022.11.9,144000,11,1994,강남구,도곡동,중형,11,수,6471.91
서울특별시 강남구 도곡동,삼성래미안,27.24,202202,2022.2.16,245000,1,2001,강남구,도곡동,중대형,2,수,8994.13
서울특별시 강남구 도곡동,삼성래미안,18.17,202211,2022.11.29,165000,1,2001,강남구,도곡동,소형,11,화,9080.9
서울특별시 강남구 도곡동,삼익,31.52,202205,2022.5.31,215000,5,1983,강남구,도곡동,대형,5,화,6821.07
서울특별시 강남구 도곡동,상지리츠빌카일룸,63.79,202203,2022.3.17,610000,2,2018,강남구,도곡동,대형,3,목,9562.63
서울특별시 강남구 도곡동,아카데미스위트1,36.99,202201,2022.1.6,220000,22,2004,강남구,도곡동,대형,1,목,5947.55
서울특별시 강남구 도곡동,아카데미스위트1,36.99,202202,2022.2.26,220000,11,2004,강남구,도곡동,대형,2,토,5947.55
